grade,credit,weight
C,16,71.6256872124766
A,17,74.21113041960506
F,17,72.50727955710937
C,17,72.02040818856312
B,14,79.4916030697047
B,17,54.120608363216434
F,17,75.47038643274203
B,18,75.13175671560616
C,17,71.5781611741003
B,16,58.16626542456247
B,15,75.25937227031724
A,17,74.8125605601179
A,20,53.531745849808445
F,16,69.96404912392188
C,17,82.90234750102948
A,15,78.09196991158956
D,17,72.84985604971811
B,16,75.40722116530364
A,18,68.29793412937683
F,17,62.485372709335245
D,15,59.805417876472895
D,15,83.12604328639482
C,21,75.80019773490982
A,19,63.367524356699434
A,16,58.877608500112196
B,15,69.78546002741379
A,17,60.98003796539211
B,18,59.34248880331046
D,16,55.19222170364903
F,18,59.249204227362306
F,17,65.03677987171447
D,18,72.57837086431161
B,20,66.32406668267816
F,17,66.37362362415078
C,17,70.33595322871125
C,17,65.03121512165607
A,17,57.911159558313216
F,18,51.90410904599845
C,18,76.76785801459508
C,20,65.084074566182
A,18,66.37201345347835
D,13,61.661129440256026
A,20,68.13805388247279
A,20,62.49174801106769
C,19,61.54976656485275
A,16,81.26138679748549
D,21,90.10102121500385
F,16,73.21154098409171
F,19,74.05853700138991
B,17,78.39727385396452
A,19,60.94304899867893
D,19,60.17202146829951
D,22,63.44802823128654
F,18,71.60115336186948
B,20,75.13194073021539
C,18,65.81137702123156
F,19,69.27344044007636
A,16,65.99049130171825
C,17,63.478775183644224
A,18,58.32760764459834
F,19,74.45947436058
F,17,66.09694454574719
B,14,78.171164197952
B,16,67.52538586263542
A,16,82.31787562710187
F,20,59.78827791545268
F,17,61.24144914731839
C,21,68.35272963419094
A,17,72.36231543319191
B,15,66.70719658813667
C,16,94.35355086831666
B,20,69.9881786557522
D,15,62.46417458001118
D,19,62.83435413519875
B,20,77.70747473687261
F,16,64.07066395258937
D,19,65.04211537602819
A,20,69.6108720676801
D,17,64.15415422168296
D,16,84.16039636346531
C,19,61.09071249517298
F,18,57.304595569915236
C,16,72.71083560353814
A,15,63.7935647489014
A,18,63.6370753324955
C,15,65.06430522612423
F,18,72.54241060317145
F,16,83.92741382586117
C,16,81.95721343686891
F,20,56.60495416231664
B,15,68.17096856552246
C,15,58.24130348706321
A,18,58.735537017958926
A,15,79.88290780779323
B,19,63.09845797972578
B,20,59.172271164871496
B,17,64.20176121642717
F,17,66.36551583055298
C,19,64.882330555374
F,16,70.13466856805526
A,20,55.76509881290253
D,16,76.70350841977121
F,20,55.94165159805217
C,14,84.34324143688514
F,16,68.14182774542248
F,18,88.78612455202835
F,19,77.6760163133594
A,17,80.83080408476056
B,15,77.36058378631445
F,16,75.97380316075191
B,18,71.47133530877453
A,17,61.20914270237936
C,19,77.93505712711243
C,16,63.68891095962509
D,18,71.22175481939807
C,19,71.64188391395402
A,18,68.0717951716087
B,18,75.85098487592809
B,18,75.3928816418211
A,18,70.72039100246437
C,17,70.6854710876769
F,17,71.77002174862433
A,18,74.67844506704051
B,19,61.761015439643984
C,18,69.19089740740436
C,19,63.93630411977772
D,16,78.19629459921275
F,17,53.48192829254319
D,18,61.645344416960704
D,21,75.48906945238518
C,17,71.98568551486406
F,21,59.232063516058204
B,16,71.60265733991923
C,18,72.89369359781888
C,17,71.99070189571684
B,16,67.6986935595639
F,18,58.20905916732369
B,16,67.25666671857789
F,21,74.2505765983933
D,21,69.44344388416856
B,20,62.69567583333463
C,19,68.18478964510213
A,17,63.49168741205062
B,18,63.877198115599654
C,19,71.30152114395548
C,17,67.27854233452041
C,18,75.90788415460689
D,18,62.817430045967754
A,18,70.4896814942295
C,18,87.52978167262951
F,17,60.74752696129922
D,15,73.07392615824038
B,16,66.87268163643031
D,14,70.41904313387026
C,19,65.67388388071235
D,16,79.27626730190173
D,18,73.71472234045703
C,14,75.15612112793869
B,18,68.30950895020507
C,15,70.66742465214128
C,18,73.83004707825849
A,20,89.5012971717991
C,19,76.45247399879092
A,16,75.91634862789759
F,17,64.21581494852926
D,22,75.06868887141327
D,17,76.565390356157
C,19,49.041552883452766
B,16,68.86139432765286
A,20,62.502172696730945
B,17,54.875355543518424
D,17,50.13456432154726
A,19,76.95332047868442
D,18,82.00546046192885
D,18,82.12206547742905
D,17,66.30481700093715
D,17,55.23492457526748
F,19,58.40118856719256
A,18,54.56632373781154
B,18,73.61247389871097
A,18,69.96818647988884
F,15,70.8831169778434
C,18,60.15623389618599
A,17,78.39391622770955
F,18,76.32877282177677
B,17,73.14707837101093
F,19,54.96601267134688
B,16,67.10626536665502
B,17,73.31044329768658
B,16,54.308930352092936
A,15,64.69075709677654
D,20,62.003367553083024
C,17,78.04153910885421
F,19,70.13691427367128
F,17,73.18210775703763
A,18,72.56808097962099
D,17,59.6418506534892
B,17,63.85994756522809
B,17,67.44915357248249
D,17,71.09242594237831
D,19,77.84876347609847
C,16,81.75799184439218
C,17,78.72717134875144
A,22,59.656013650543315
A,18,68.52205428279926
A,18,60.69258270036546
A,19,73.26867720492615
F,18,69.53014518038898
A,20,66.81527099362175
B,19,58.21101302220513
B,17,65.00699454623427
D,22,71.44134753257077
D,16,72.3807800334112
A,19,63.772748926448095
A,16,69.226996209901
C,18,63.50572069298841
C,18,60.51952815956278
D,18,67.62793001257117
F,17,66.04996844624014
C,13,76.7477843434891
B,17,64.69997403878925
A,19,50.114050806876435
A,17,55.98242941125229
B,17,69.85808410711113
A,17,77.1503120648799
B,17,59.75226998762812
B,18,63.612694103126515
D,19,78.28091811027176
B,18,67.58669134458547
C,19,80.23939768540916
F,18,70.4818460395805
F,17,54.020397520822186
C,17,70.0904204195281
A,20,67.61810342938288
C,16,66.71274945077309
F,17,67.0819425679779
F,22,67.66743248157161
D,17,62.571922880404365
D,18,75.94430867056602
C,16,68.26661724920825
D,18,70.64799517436445
A,19,80.08970001586395
B,16,73.86178240892703
F,16,58.31496506749137
D,17,70.49919040922217
D,20,58.876076851702884
D,17,79.58672810023918
C,15,58.86987475882629
A,18,67.3932397816326
D,18,71.99212128737045
C,18,80.0404149757716
D,16,78.17254811923763
A,14,46.34525657915168
B,18,52.29165032148142
D,17,67.26598468763554
C,16,74.77878968668082
B,20,78.67783535712292
B,18,63.881260741666594
F,16,69.71624353720486
A,20,85.24809931936046
C,18,71.29644619743269
A,17,64.65441759494082
C,18,72.31318099510932
D,16,76.97354559210616
B,19,76.36687070406118
B,19,68.47973001568475
A,16,71.01755895433534
A,17,64.29184000391902
B,19,70.41994849501226
A,16,59.60726996620923
A,18,73.26813814081588
A,18,64.88409236723801
F,18,56.371905546377654
F,19,70.237580656003
C,15,64.45251391023363
A,18,85.18121282804505
D,17,57.22426434815749
B,14,67.78233152798327
A,16,74.39542625512271
D,19,57.09382989238735
D,19,71.80314107640714
C,15,71.27424364333903
C,15,62.01503135063487
B,17,57.61608005393071
A,16,56.721633540182374
B,15,70.26623236326243
A,16,61.48054639798634
A,20,59.40146111341802
D,17,62.93507049871157
C,20,78.14858899292952
C,18,61.4443798630348
C,16,58.65405508294426
F,18,71.84978478911799
B,20,71.13268687405815
D,17,75.16896475323439
B,18,79.11691512579601
A,15,56.857076109278566
A,19,56.2162297430756
A,17,59.52730572133908
F,19,64.46968022891515
B,19,57.86437266845712
F,18,61.75134215651549
B,16,64.87483865063086
C,19,66.31179263116768
B,18,53.2127854120685
B,19,77.29707641939919
C,15,70.65203752982362
D,17,64.56230713010441
A,19,64.36362158623434
F,17,65.79787055835953
D,19,61.6217900155391
F,16,64.97141875360737
D,17,62.29558332931955
C,15,66.50468781865351
B,19,66.98834601192964
B,18,55.19162242082048
D,16,70.92490725414427
A,20,65.97036881340608
C,20,71.25363057633793
A,16,67.0260718272546
B,17,81.87017015486455
D,16,62.791662315449386
A,19,51.926494378416145
A,17,56.72926732990257
B,20,70.2777424952653
C,18,72.52474804781825
C,18,69.82513303946814
A,17,67.18916472972442
B,18,63.329368477124135
F,20,72.70365637517745
B,16,76.49867384875408
F,18,59.584682094845505
D,18,60.51851006936452
F,16,71.88517428251231
F,17,60.670721793400034
F,16,71.04533343710331
C,16,71.18820838863833
F,16,67.71462005352906
C,19,57.89086386184974
B,18,62.21544015754253
B,17,78.24564965160619
F,14,63.19167717903395
A,18,85.92934883908703
B,18,53.16023532945386
F,20,66.41865073336696
A,18,75.4451920477707
B,16,67.57005683783107
F,16,69.36833787087605
C,16,63.92547404838504
C,17,57.772721494812586
B,18,60.63404392978343
F,17,60.48274407255106
D,20,73.7437086430116
D,17,66.2632277635764
A,19,71.28071203500801
D,17,68.05830460909894
D,14,69.42710771610591
F,16,60.84659029269479
B,20,55.485378646407604
C,16,75.11375213464449
F,18,78.74410157365932
F,16,62.05788585625396
B,16,69.06349904405373
F,20,57.12963201217771
A,19,69.65198941374926
A,16,70.69735787549902
F,18,70.50196674147794
B,16,66.70954343422852
F,17,63.98521280262623
C,19,72.7400811405906
D,17,78.19674154066094
F,19,71.19656494677012
B,17,65.92885306253733
F,18,71.58761895279923
C,16,53.90796541721603
B,18,69.51321859768565
C,18,63.18437583451601
F,18,79.14723713429998
A,14,64.94088145248902
D,16,75.05670486849671
B,17,59.52860141475472
B,21,71.57049916391226
C,17,66.67431516573113
A,18,77.78276746560013
D,15,72.46035242583416
D,18,72.04824514090156
C,18,70.01342248486543
B,17,64.56645585996034
D,17,59.51038690216214
C,16,71.06551617863592
B,16,75.21567335073804
F,18,75.5714739371599
D,16,73.24294124237694
D,17,69.63789447860168
F,16,77.58106598514252
D,17,76.40514145694804
F,16,73.56306425749491
B,17,78.10239319921153
D,19,70.49923102174968
B,19,65.18927570105876
D,15,63.859697147865596
A,15,68.20968557990219
B,16,62.32858125852114
D,19,86.62615428863805
B,19,71.39457096015983
D,18,67.07112276253876
D,18,76.4404767900246
D,18,69.83227348368538
C,19,71.45600422666683
C,18,75.4022410556452
D,18,68.29775205994275
A,17,59.76828991382642
D,16,64.73512633541458
C,17,66.46062951929228
F,16,70.01813877092432
B,17,66.13772488256667
C,18,70.67973573961882
C,18,81.7737628319868
D,20,63.46888473309713
A,19,66.03625850470523
C,17,63.20588458776723
C,18,81.99288236509292
A,17,61.57041523426592
F,15,66.7023262247336
B,19,68.38959317647264
A,16,55.72301043331232
B,17,65.87380878784529
F,16,67.79273313318707
D,18,75.7223938053346
A,17,71.40221068592966
C,17,72.85225946317576
A,17,65.56418716445975
F,19,65.39548412248448
A,18,59.18846285070463
F,19,84.9055571352713
D,20,74.73002803619434
A,17,64.35133829729973
D,18,74.01044490368987
A,18,69.31657459195625
D,17,51.00581697443239
D,19,58.102815262983285
D,16,89.60484102005907
C,15,76.07463846077465
B,18,77.25145332395908
C,18,67.80773043002525
B,16,76.6608303301261
B,18,80.21268120332161
F,17,71.60487743918448
A,16,74.06667849501405
D,20,62.377316166497216
F,19,71.54509105195537
A,14,64.89418634026607
A,19,60.7520838516825
F,20,74.70639636894848
D,19,75.0568989937225
F,18,64.89051608644596
C,20,70.5728783569207
C,14,57.92475354858742
D,17,59.94351376091049
A,16,74.87220012026194
D,19,77.88716216340572
F,17,73.89051586009491
C,21,61.44315180777664
B,14,61.89309465347477
A,19,83.87531192713506
F,18,68.41425694424997
B,16,75.51433149479423
F,20,65.35755863924707
F,18,58.87488223124102
B,18,57.18529551635204
F,20,69.28865355898832
A,18,77.65322723709949
D,18,80.18079639769361
A,14,87.60844159101818
D,17,62.79616580192878
D,19,63.90434388336944
C,22,66.2585012300941
C,16,69.70000770750823
C,14,74.68039617559478
B,16,66.61350264346484
D,17,68.51179572907746
C,15,59.57318548026173
B,17,64.17283375146243
D,17,63.7305539354818
A,16,77.02320368568172
F,19,66.79591226470957
D,17,72.90622366398111
C,18,68.87578152250587
C,15,68.2941100240327
A,18,62.04147093801174
A,19,74.8766216205381
D,19,71.42292513265531
D,16,55.41234806720738
B,17,79.96185264037501
C,15,55.21717454726263
A,20,71.95595684498477
B,19,75.66353385099605
A,19,72.14112421507939
A,19,77.6623920850961
C,20,73.05825962677619
A,17,61.6410551470658
D,17,70.41850601073676
A,20,75.86437849364869
A,17,58.46917150093404
D,16,60.81494938637085
B,20,55.08049824066688
C,18,65.61117667462078
B,17,81.46632205937514
A,17,71.27354380743674
F,17,71.65690002574514
B,14,67.78571505048623
C,20,73.41669188914153
D,15,63.69140569032652
B,17,64.4689502084228
F,18,64.2181355332739
F,19,75.23503373525604
A,18,57.168560588907106
F,16,71.01867187708046
F,20,77.81241403001012
C,15,61.23615908852948
C,19,73.13650338383052
D,18,72.59441977178113
A,15,60.10353068781106
A,16,74.96132141235249
F,19,79.75269439568154
C,14,63.85397032099398
C,16,68.55374650929762
F,19,70.53316923679256
A,17,72.22268605896923
A,17,63.716522789047175
B,21,53.88743396117765
C,15,66.04358819473941
C,17,61.76404194371225
A,18,59.641224485356055
B,20,79.5792202848275
D,14,58.74883748925283
D,17,63.03083963240918
A,20,76.17829950032346
C,16,82.44835819405529
B,17,73.54116828502352
F,16,70.9637454781205
A,16,72.23731284343233
A,17,74.32570687692811
C,20,78.03568323850975
B,17,82.81439384827769
B,16,55.52073524532303
D,16,65.96011505140802
C,18,73.95434579928313
B,20,71.67188343099515
A,19,61.24899604650147
D,18,79.20956357921197
B,16,56.154388179709784
C,18,69.54545711452636
A,20,67.26687948831909
C,18,75.2361661209558
B,18,83.66347428916853
A,16,71.84246897479886
C,17,63.77300157916152
C,17,77.38888669481045
D,18,76.24503434314829
F,14,76.41316936141347
F,17,88.61912469039817
B,19,61.928033045760735
A,15,59.5447244743852
A,18,71.09354937081218
B,16,66.40112245575014
C,18,56.469539084607696
F,19,60.98300404192722
A,17,65.47216327294186
A,20,74.30538458455885
F,19,65.35334438289642
D,16,71.0819195158501
A,19,81.58071779180915
B,17,65.05510247904913
B,15,61.77466279346886
B,18,67.72905637270598
B,20,73.1133973586318
A,18,74.10614382643878
F,19,66.7071067865752
D,17,70.63363621938052
F,15,73.82271989258572
D,17,74.67489933218754
B,18,61.812881385970236
A,20,81.7535757848925
D,18,61.65694107401651
C,17,79.12302412501089
C,17,77.24224741653312
B,18,69.00146047043715
B,18,80.06931299252172
F,18,54.95593313016862
B,16,70.49062726039442
F,18,76.38259112610822
A,19,54.114893847160204
D,18,74.69363029448911
F,19,67.6000187804194
F,17,76.36545125712244
C,17,61.92090693330382
F,18,65.0355189677206
A,17,67.92036289235469
B,17,61.8928133003176
C,15,81.04192238512981
A,17,70.80955115774256
F,20,69.12241553885994
A,17,75.74346708701215
C,17,79.25651094867007
A,18,62.854443772969105
B,19,49.60072688528575
F,16,75.24266553209571
C,18,79.39252516065194
C,17,71.49620903769504
A,21,72.1734909695675
F,17,61.86465472082348
A,15,68.27053981640817
A,19,69.92842490747965
F,18,67.31386893495365
B,18,79.02681783780952
A,20,68.79412444173194
C,18,67.7859667772562
B,18,64.30486993990608
C,18,74.34798219054437
A,17,78.1946680800369
A,17,63.776280388729354
B,17,65.26961562505525
C,18,55.2690114570592
B,18,68.8550254263543
A,19,74.81286712339636
A,17,55.17936061796212
A,20,77.09249916680174
A,20,73.2596554926478
A,18,61.76087090803108
B,14,71.97401185708648
B,17,47.94815439074598
F,18,73.60251580495914
C,16,61.848609323152296
C,19,82.0784224231724
C,16,62.142208823688115
B,15,65.4544007656204
D,16,86.3667094100626
C,18,73.43307236103236
A,19,44.12102913960311
A,14,67.99213713029367
D,20,63.853137312508146
D,20,62.54751828411185
D,17,75.87695769774943
A,16,75.71969756331009
F,17,68.66663604528723
A,19,61.59463676618467
D,16,66.18346707487393
F,20,60.43577637844715
D,17,83.23598355625381
C,16,54.35623674066521
D,17,71.43241676870129
D,15,84.84258248527775
C,17,93.73686242821604
F,16,54.585785219507514
C,19,66.05977947314489
A,18,70.26997965395987
D,16,66.70628564109421
F,18,71.6955423962923
A,19,72.38668141325641
D,18,63.03678931734859
F,18,60.1865010038361
A,20,62.89464455112612
B,19,64.0614192475585
A,17,49.70582710935729
F,17,55.79240270471742
B,17,80.54057510879827
F,17,75.34877287216968
B,18,73.94925809299129
C,17,71.62874874112384
C,16,64.5913669678871
F,16,62.92299274871718
A,17,74.14098888035487
F,17,60.01223437784816
A,15,56.00210937836064
A,20,65.41187919830458
F,16,77.826040889442
B,15,64.84528552154269
A,19,75.95214044662846
C,17,78.24980824920615
B,16,60.50496500307554
B,16,72.83356043319311
F,18,68.27011340636172
B,17,83.12642690018329
D,20,80.71925699705277
A,19,68.84186923297524
A,17,61.09934600060093
B,17,68.88238176161984
D,19,60.881791154892
B,19,69.53785040241259
D,18,67.35891211597522
C,18,67.54045170585185
B,20,61.512796495837655
F,17,60.16276440626213
A,18,81.31811234593415
D,17,56.196121518763334
F,17,62.03708166000914
C,18,70.50237581232832
A,18,68.29034164909055
F,15,61.109009650286346
C,19,66.66970979961175
A,18,63.059708947629005
C,18,79.65328068207863
B,17,67.35828986060521
F,18,68.22980480301474
A,16,71.9513994610071
F,18,61.96876764222458
A,16,53.02724846049004
F,17,57.8261275741661
A,16,57.834291597924135
A,18,73.01993816080316
C,15,79.18053344296642
D,17,72.9455685060445
A,19,63.58563753784308
C,17,50.20563909384255
B,15,69.50708280755298
C,16,57.899623768249185
A,15,55.921615837031375
C,18,61.75990153380216
A,15,62.4391904853913
D,18,59.76704251738856
C,20,50.161536211923675
D,20,67.9863240848868
D,19,55.69768399090511
C,19,61.30425925673318
A,17,73.60549313279432
B,18,63.39528046932052
A,15,53.7569346842248
D,18,59.357775981967045
A,20,60.7611573737717
D,16,65.42714181273854
C,18,68.60407068627329
A,18,60.7415544409223
F,19,74.97662749844929
D,18,78.08165456284432
A,20,66.6354413282743
C,19,57.23927404910186
D,16,79.63223563729035
B,16,74.97782197461838
A,15,82.37131921290354
F,18,69.51602062174568
F,17,62.606810802882876
A,17,66.37243674126378
F,16,60.93473435960414
A,17,65.19610848345336
C,20,82.1066790444802
A,17,68.91184968232741
F,17,67.20607825637713
B,17,53.96757414372605
C,17,61.73179616916836
A,16,71.15415839018937
D,16,68.64750935245956
A,17,74.9320443835043
A,17,61.05751819341264
F,16,65.57582485080717
F,16,56.165845493723374
C,19,67.6848678968101
C,18,58.815909277087776
C,15,64.20142481246444
B,18,56.64907532037623
B,16,69.37107737996666
B,18,61.875154810995895
F,17,74.4037271428591
C,15,70.3856155594102
B,17,75.41050642019707
C,15,62.38251891194631
F,18,69.37732662982077
A,19,67.02601368444752
D,18,73.37062044983158
F,17,59.2039888462696
F,19,72.1824615501589
B,20,74.78460173863755
B,16,65.79536169087326
C,18,54.21260543924284
A,19,68.09732670136955
B,18,69.83600077886192
A,20,71.30863421322437
C,18,58.238134872103814
C,19,61.56445107384408
B,19,53.80691534625759
C,17,70.29762691950603
F,17,62.57731915010445
F,17,63.50965393327121
C,19,66.98646910301304
D,16,64.76113164207125
C,16,58.539204243865655
A,19,68.14577980040006
F,18,82.6742467281291
B,18,66.21632892434556
B,15,77.22684087548247
B,15,65.66136366272761
B,16,75.61697082694246
D,19,72.45960583370525
A,16,80.40261303777226
B,18,61.58588155850283
D,18,77.15346403548438
F,17,80.94223983698159
B,20,57.615081555682494
B,17,73.46698667157052
C,17,75.05411160353553
D,19,52.51527102612654
F,18,78.71540190835346
C,17,61.9690938414872
C,19,58.106387415138286
D,14,70.95121702573309
A,15,52.745040131144215
D,16,88.82728074782153
A,17,69.28071863606068
F,18,65.74213587493209
F,18,66.54500616413499
D,16,62.64772275781605
F,18,75.53170249840785
A,17,67.29952446383513
A,19,67.01602095883973
D,17,66.80137104625217
D,16,74.49036645914539
D,19,60.77559591347438
F,16,65.91272785617493
B,18,47.07021512600324
F,18,75.18497625734793
D,15,83.29541164028355
D,18,79.18540861558753
A,19,64.56655445113934
C,19,61.6705560508054
A,17,70.9857042027876
F,19,69.49512074442265
F,17,83.98171496028598
B,17,68.78493347954024
B,17,75.53355003367153
D,18,73.31743674461404
F,18,55.41560767581553
F,15,71.60521899646267
C,18,74.59003092491687
A,17,79.01567626204395
F,17,71.80736092143583
A,20,79.0972800639181
C,19,74.3671003856476
A,15,58.07001016068613
B,14,60.505851561155424
D,15,69.72328462130942
C,17,58.254031824884514
B,17,76.67113407262593
F,19,63.457281686443224
B,18,56.25730441779693
F,19,75.14433759258964
F,17,70.57193741943199
A,17,68.82788051600795
F,16,69.15001223350146
A,16,70.91047200696516
B,16,56.0658393602688
B,21,73.76465537424733
D,16,65.86952988049687
F,19,71.49031117651728
F,18,72.31675769167686
F,16,68.11601328956606
B,19,61.66583501471043
A,16,80.32641972943844
D,16,65.32685639632224
F,18,63.9745652693674
A,16,63.16905302668721
B,18,72.93665380562943
B,14,66.15412653405272
B,20,61.92759964956734
B,19,64.32452888125319
D,20,71.64932861721128
D,18,77.81332802475856
A,18,80.30244769216782
C,16,61.33515132430738
F,18,66.87675552146646
B,19,53.696171843461514
F,19,87.69704729927204
B,17,69.95448862720878
A,15,72.96640469754078
B,20,76.01306129059643
C,18,80.03912587968419
D,16,74.32225328879773
C,19,60.140233043647726
B,15,70.2044726617714
B,21,73.99611579624292
A,17,69.64281399139252
A,18,58.99294003279818
D,20,51.512139364132715
B,19,70.4745778033885
A,15,65.12833229470627
A,19,71.52040366189468
B,19,51.679190658582705
A,20,64.41807147309427
B,18,71.49552653998904
B,17,66.15044579993686
D,17,76.04250656564113
F,17,71.36178697759436
F,19,71.71151591091021
B,17,68.15463371222162
A,17,50.9534252085903
C,16,64.78829231717258
D,16,59.36541673296534
A,18,83.8955872552196
D,18,56.31385036136503
D,16,84.8896903470395
A,15,63.27609097421437
F,19,57.22708420875381
F,19,64.09456543240564
A,20,64.61049828263604
F,17,71.06775602249805
C,18,72.26895284620468
B,19,70.40335926561346
B,17,60.08050136247607
D,19,68.65083283306848
B,15,69.20313505260053
B,18,80.12092063307249
F,17,71.91864790871344
B,16,81.83971591610106
B,16,79.06062340207143
A,17,76.32961494246999
F,16,72.38979800523533
F,18,76.92605173449375
B,20,67.05365308249176
F,15,73.38261665643442
A,19,68.79994058517352
F,19,70.20739461127025
C,18,55.07927179632921
A,17,79.96375572676368
A,17,67.62165911776599
F,19,54.740249682018266
B,16,69.59394418705465
D,19,55.66382766240961
D,22,63.417368588346264
F,20,73.42798403441492
A,17,66.4677226171406
F,20,82.6568307554377
C,18,76.57249049492793
B,16,80.1944323836903
A,17,58.195525623328365
B,16,61.942325274785105
B,16,69.7729987495197
F,16,65.6538820084782
A,18,65.4793425843922
D,17,57.408628166922554
F,18,58.63246016973237
F,19,62.5591545490343
D,17,71.16234045260263
F,18,67.83845100374589
D,18,70.19120421774699
C,17,69.01939324849046
B,16,77.10414444241832
B,15,72.6072563114585
A,17,83.71198743277606
D,16,60.60581802401104
B,19,64.28432682170366
F,17,64.49330683819726
B,17,53.196811989200455
D,18,67.3314835394969
A,19,63.79289418174056
C,17,67.63679666424504
B,17,64.53134304590891
D,23,61.68464911557577
B,17,70.63646887360571
F,17,68.81823256040131
C,18,79.062844045802
F,17,78.87298761571047
A,15,59.13617325906339
C,16,68.87666575444752
B,18,85.69442201045685
A,21,67.38077735696064
B,17,63.82503292533645
A,20,71.79934911259382
D,17,63.195986310903514
A,18,68.45057682370765
B,17,60.52384374854565
F,19,68.77770275000867
B,18,55.8288189167486
F,16,73.223932760882
B,17,71.2794808309648
B,16,58.674110625407764
D,15,68.87031205700978
B,18,65.05659384558945
C,14,75.09843269894888
B,18,75.93819888882172
F,17,49.21501922499408
F,16,63.92789142473407
B,20,75.45600009564725
D,17,74.70720261441672
D,17,62.75029277636534
F,19,66.83587793364083
F,18,62.64654346931295
F,18,67.905456822224
D,19,69.98257015896046
F,17,69.03267953140863
C,19,68.45510398914085
C,18,77.82669296971818
A,18,66.28310944239833
A,19,66.559687838029
D,19,66.8468131841632
C,18,64.8291442917263
B,18,54.700454847605656
A,17,66.18647966455238
B,18,68.38264468419644
A,17,56.915256337182086
C,18,54.591271671474374
B,16,75.517605858128
A,18,73.0618581911466
D,19,66.08877008341781
C,17,66.84471458622446
B,16,64.69008832571129
B,18,56.884392776765964
D,17,66.58440311641138
C,18,63.0891236522171
C,20,78.16768904245905
A,15,73.93276555003682
A,15,68.01697259359916
D,17,60.48940832982601
C,20,54.229243988469584
B,18,74.12398018450527
F,19,66.30412273991666
C,20,63.6519782413182
D,21,69.91005992926725
D,16,74.9326341812915
B,16,79.52213802643331
D,17,74.39350780260457
D,16,63.70249866249931
A,18,64.22178435817642
C,15,84.7861782506989
A,19,73.5585522405887
B,18,70.19330461347214
B,17,69.41770015807236
